Financing Country  (and entity),Financing Country,Institution,Project Name ,MW, Amount (in USD)  , Amount Sources , Estimated Amount2 , Total Project Value , TPV Sources , EPC Revenue , Insurance cover ,Financial Close Date,Year Financed,Region ,Recipient Country ,Recipient Subregion,Sponsors/Parents,Project Sponsor (GCPT)2,EPC Company,Generator Manufacturer,Turbine Maker,Boiler Maker,Sector Group ,Sector ,Latitude,Longitude,Location Accuracy,Phase ID,URL,Source 1,Source 2,Source 3+,GEMTrackerIDs,GEMTrackerLOC,Other and Chinese Names,OpYEAR,Plant Type ,Coal Mine Size (Mtpa)
Multilateral,Multilateral,World Bank - International Development Association,Ninth Poverty Reduction Support Credit (PRSC 9),,"$12,100,000 ",,,,,,,7/16/2013,2013,Sub-Saharan Africa,Mozambique,,Government of Mozambique ,#N/A,,,,,Coal - Other/Unspecified,Coal - Policy,,,,,,http://www.ebrd.com/work-with-us/projects/psd/mak.html,"

http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2013/06/26/000356161_20130626114537/Rendered/PDF/751170PGD0P131010Box0377356B0OUO090.pdf
http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2013/06/13/000001843_20130618125021/Rendered/PDF/PID000Appraisal0Stage000MZ0PRSC9.pdf",,,,,,,
Japan,Japan,Japan Bank for International Cooperation (JBIC),Nacala Rail and Port Project,,"$1,030,000,000 ",,,,,,,2/23/2018,2018,Sub-Saharan Africa,Mozambique,,Vale and Mitsui,#N/A,,,,,Coal - Other/Unspecified,Coal - Transport,-14.540175,40.668142,approximate,NA,,https://ijglobal.com/data/transaction/31942?name=Nacala%20Railway%20Corridor%20(912KM)%20Refinancing&link=%2FArticles%2F107883,,,,,,,,
Japan,Japan,Nippon Export and Investment Insurance (NEXI),Nacala Rail and Port Project,,"$1,000,000,000 ",,,,,,,2/23/2018,2018,Sub-Saharan Africa,Mozambique,,Vale and Mitsui,#N/A,,,,,Coal - Other/Unspecified,Coal - Transport,-14.540175,40.668142,approximate,NA,,https://ijglobal.com/data/transaction/31942?name=Nacala%20Railway%20Corridor%20(912KM)%20Refinancing&link=%2FArticles%2F107883,,,,,,,,
South Africa,South Africa,Export Credit Insurance Corporation of South Africa (ECIC),Nacala Rail and Port Project,,"$400,000,000 ",,,"$4,200,000,000 ",,,,2/23/2018,2018,Sub-Saharan Africa,Mozambique,,Vale and Mitsui,#N/A,,,,,Coal - Other/Unspecified,Coal - Transport,-14.540175,40.668142,approximate,NA,,https://ijglobal.com/data/transaction/31942?name=Nacala%20Railway%20Corridor%20(912KM)%20Refinancing&link=%2FArticles%2F107883,,,,,,,,
Multilateral,Multilateral,World Bank - International Finance Corporation,Nacala Rail and Port Project,,"$265,000,000 ",,,,,,,2/23/2018,2018,Sub-Saharan Africa,Mozambique,,Vale and Mitsui,#N/A,,,,,Coal - Other/Unspecified,Coal - Transport,,,,,,https://disclosures.ifc.org/#/projectDetailESRS/8582,"http://www.afdb.org/fileadmin/uploads/afdb/Documents/Project-and-Operations/Project_Brief_Nacala_Rail___Port__Project__Multinational_2015.pdf
https://ijglobal.com/data/transaction/31942/nacala-railway-corridor-912km",,,,,,,
Multilateral,Multilateral,African Development Bank (AfDB),Nacala Rail and Port Project,,"$300,000,000 ",,,,,,,2/23/2018,2018,Sub-Saharan Africa,Mozambique,Tete,Vale and Mitsui,#N/A,,,,,Coal - Other/Unspecified,Coal - Transport,,,,,,https://ijglobal.com/data/transaction/31942?name=Nacala%20Railway%20Corridor%20(912KM)%20Refinancing&link=%2FArticles%2F107883,"http://www.afdb.org/fileadmin/uploads/afdb/Documents/Project-and-Operations/Project_Brief_Nacala_Rail___Port__Project__Multinational_2015.pdf
https://ijglobal.com/data/transaction/31942/nacala-railway-corridor-912km",,,,,,,
Private or Other,Private or Other,KPMG,Ncondezi Coal Plant Phase I (300MW) ,300,,,, over 1 billion RMB ,,,,1/1/1950,2050,Sub-Saharan Africa,Mozambique,Tete,Ncondezi Energy ,"Ncondezi Energy, State Power Investment Corporation",China Machinery Engineering Corp,General Electric,General Electric,General Electric,Coal Power Plant,Coal Power Plant - New,-15.5958333,32.7647222,exact,PH113.01,http://bit.ly/1eYfGr7,https://ijglobal.com/data/transaction/32141/ncondezi-coal-fired-power-plant-300mw,http://www.ncondezienergy.com/wp-content/uploads/2020/01/financialmodelsubmittedforinternalreview28.01.2020.pdf,"https://www.proactiveinvestors.co.uk/companies/news/904487/ncondezi-energy-aims-to-fill-power-gap-in-mozambique-904487.html
https://www.iea-coal.org/ncondezi-energy-gets-cmec-ge-as-co-developers-for-300mw-coal-power-plant-in-mozambique/
Urgewald GCEL
https://ijglobal.com/articles/145248/ncondezi-submits-financial-model-for-mozambican-coal-fired
https://www.youtube.com/watch?v=OXdFuzLbf8Y&feature=youtu.be",,L103062,,,#ERROR!,
China (EPC),China,PowerChina,CTTM Coal Plant (700MW),700,,,,,,,,1/1/1950,2050,Sub-Saharan Africa,Mozambique,Tete,,#N/A,PowerChina,,,,Coal Power Plant,Coal Power Plant - New,-16.144055,33.60695,approximate,PH357.01,,http://www.cec.org.cn/zdlhuiyuandongtai/qita/2019-07-10/192485.html,,,,???," Šü_ŒÝ_ÓµŒÈ¼, = PowerChina",,,
China (EPC),China,SinoMach,Ncondezi Coal Plant Phase 2 and later (1500MW),1500,,,,"$1,000,000,000 ",,,,1/1/1950,2050,Sub-Saharan Africa,Mozambique,Tete,"Ncondezi Energy, GE, SinoMach",,China Machinery Engineering Corp (SinoMach),General Electric,General Electric,General Electric,Coal Power Plant,Coal Power Plant - Expansion,-15.5958333,32.7647222,exact,PH113.02,http://bit.ly/1eYfGr7,https://ijglobal.com/data/transaction/32141/ncondezi-coal-fired-power-plant-300mw,http://www.ncondezienergy.com/wp-content/uploads/2020/01/financialmodelsubmittedforinternalreview28.01.2020.pdf,"https://www.proactiveinvestors.co.uk/companies/news/904487/ncondezi-energy-aims-to-fill-power-gap-in-mozambique-904487.html
https://www.iea-coal.org/ncondezi-energy-gets-cmec-ge-as-co-developers-for-300mw-coal-power-plant-in-mozambique/
Urgewald GCEL
https://ijglobal.com/articles/145248/ncondezi-submits-financial-model-for-mozambican-coal-fired
https://www.youtube.com/watch?v=OXdFuzLbf8Y&feature=youtu.be",,L103062,,,#ERROR!,
China,China,China Export & Credit Insurance Corporation (Sinosure),Ncondezi Coal Plant Phase I (300MW) ,300,,,,"$1,000,000,000 ",,,,1/1/1950,2050,Sub-Saharan Africa,Mozambique,Tete,"Ncondezi Energy, GE, SinoMach",,China Machinery Engineering Corp,General Electric,General Electric,General Electric,Coal Power Plant,Coal Power Plant - New,-15.5958333,32.7647222,exact,PH113.01,https://www.gem.wiki/Ncondezi_power_station,https://ijglobal.com/data/transaction/32141/ncondezi-coal-fired-power-plant-300mw,http://www.ncondezienergy.com/wp-content/uploads/2020/01/financialmodelsubmittedforinternalreview28.01.2020.pdf,"https://www.proactiveinvestors.co.uk/companies/news/904487/ncondezi-energy-aims-to-fill-power-gap-in-mozambique-904487.html
https://www.iea-coal.org/ncondezi-energy-gets-cmec-ge-as-co-developers-for-300mw-coal-power-plant-in-mozambique/
Urgewald GCEL
https://ijglobal.com/articles/145248/ncondezi-submits-financial-model-for-mozambican-coal-fired
https://www.youtube.com/watch?v=OXdFuzLbf8Y&feature=youtu.be",,L103062,,,#ERROR!,
China (Equity+EPC),China,SinoMach,Ncondezi Coal Plant Phase I (300MW) ,300,,,"$90,000,000 ","$1,000,000,000 ",,,,1/1/1950,2050,Sub-Saharan Africa,Mozambique,Tete,"Ncondezi Energy, GE, SinoMach",,China Machinery Engineering Corp (SinoMach),General Electric,General Electric,General Electric,Coal Power Plant,Coal Power Plant - New,-15.5958333,32.7647222,exact,PH113.01,https://www.gem.wiki/Ncondezi_power_station,https://ijglobal.com/data/transaction/32141/ncondezi-coal-fired-power-plant-300mw,http://www.ncondezienergy.com/wp-content/uploads/2020/01/financialmodelsubmittedforinternalreview28.01.2020.pdf,"https://www.proactiveinvestors.co.uk/companies/news/904487/ncondezi-energy-aims-to-fill-power-gap-in-mozambique-904487.html
https://www.iea-coal.org/ncondezi-energy-gets-cmec-ge-as-co-developers-for-300mw-coal-power-plant-in-mozambique/
Urgewald GCEL
https://ijglobal.com/articles/145248/ncondezi-submits-financial-model-for-mozambican-coal-fired
https://www.youtube.com/watch?v=OXdFuzLbf8Y&feature=youtu.be",,L103062,,,#ERROR!,
China (majority bank),China,Industrial and Commercial Bank of China (ICBC),Ncondezi Coal Plant Phase I (300MW) ,300,,,,"$1,000,000,000 ",,,,1/1/1950,2050,Sub-Saharan Africa,Mozambique,Tete,"Ncondezi Energy, GE, SinoMach",,China Machinery Engineering Corp,General Electric,General Electric,General Electric,Coal Power Plant,Coal Power Plant - New,-15.5958333,32.7647222,exact,PH113.01,http://bit.ly/1eYfGr7,https://ijglobal.com/data/transaction/32141/ncondezi-coal-fired-power-plant-300mw,http://www.ncondezienergy.com/wp-content/uploads/2020/01/financialmodelsubmittedforinternalreview28.01.2020.pdf,"https://www.proactiveinvestors.co.uk/companies/news/904487/ncondezi-energy-aims-to-fill-power-gap-in-mozambique-904487.html
https://www.iea-coal.org/ncondezi-energy-gets-cmec-ge-as-co-developers-for-300mw-coal-power-plant-in-mozambique/
Urgewald GCEL
https://ijglobal.com/articles/145248/ncondezi-submits-financial-model-for-mozambican-coal-fired
https://www.youtube.com/watch?v=OXdFuzLbf8Y&feature=youtu.be",,L103062,,,#ERROR!,
Multilateral,Multilateral,African Development Bank (AfDB),ACWA Moatize (270MW),270,"$250,000,000 ",,,"$1,000,000,000 ",,,,1/1/1952,2052,Sub-Saharan Africa,Mozambique,,ACWA Power,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,-16.167807,33.789454,,PH023.01,http://bit.ly/1fCFHgL,https://lifeaftercoal.org.za/media/another-nail-in-the-coffin-for-doomed-khanyisa-private-coal-plant-project,sourcewatch,,,L103058,,,Subcritical,
Japan,Japan,Japan International Cooperation Agency (JICA),Nacala Rail and Port Project,,,,,,,,,1/1/1954,2054,Sub-Saharan Africa,Mozambique,,Vale and Mitsui,#N/A,,,,,Coal - Other/Unspecified,Coal - Transport,-14.540175,40.668142,approximate,NA,,https://ijglobal.com/data/transaction/31942?name=Nacala%20Railway%20Corridor%20(912KM)%20Refinancing&link=%2FArticles%2F107883,,,,,,,,3
Japan,Japan,Japan Bank for International Cooperation (JBIC),Toyo-Thai (Inn Din) Coal Plant (1280MW),1280,,,,"$2,800,000,000 ",,,,1/1/2000,2100,Southeast Asia,Myanmar,Mon State,Toyo Thai (stalled),#N/A,,,,,Coal Power Plant,Coal Power Plant - New,15.3,97.966667,,PH166.01,https://www.gem.wiki/Inn_Din_power_station,,https://ijglobal.com/articles/106736/ttlc-to-invest-in-coal-power-plants-in-myanmar,https://ejatlas.org/conflict/inn-din-coal-power-plant-cancelled-mon-state-myanmar,,L103069,,,Ultrasupercritical,
Japan (Commercial bank),Japan (Commercial bank),Toyo Engineering,CANCELLED - Hpa-An Coal-Fired Power Plant (1280MW),0,,,,"$2,800,000,000 ",,,,1/1/1950,2050,Southeast Asia,Myanmar,Kayin State,TTCL Public Company Limited,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,16.890556,97.633333,,PH065.01,https://www.gem.wiki/Hpa-an_power_station,https://www.sourcewatch.org/index.php/Hpa-an_power_station,https://ijglobal.com/articles/132830/ttcl-disputes-myanmar-coal-fired-cancellation,IJ global marked as canceled,,L103067,,2023,Ultrasupercritical,
China (EPC),China,Sinomach,Tigyit Coal Plant upgrades (120MW),120,"$168,000,000 ",,,,,,,1/1/1952,2052,Southeast Asia,Myanmar,Shan State,"Eden Group, Shan Yoma Nagar",#N/A,China Heavy Machinery/ Wuxi Huagaung Electric Power Engineering . China National Machinery Industry Corporation Ltd (Sinomach),,,,Coal Power Plant,Coal Power Plant - Existing,20.431292,96.703524,exact,PH164.01,https://www.gem.wiki/Tigyit_power_plant,http://www.mmtimes.com/index.php/national-news/24647-as-possible-restart-of-tigyit-coal-plant-looms-opposition-rallies.html,http://www.mmtimes.com/index.php/business/20010-chinese-firm-to-restart-myanmar-s-only-coal-plant.html,https://energy.frontiermyanmar.com/sites/all/libraries/ckfinder/userfiles/files/MEB%203%20November%202016(1).pdf,,L103074,,2005,Subcritical,
China (Equity+EPC),China,China Huadian,Riau-1 Coal Plant (600 MW),600,,,,,,,,1/1/2000,2100,Southeast Asia,Indonesia,Sumatra,"NewCo - (49%) BlackGold, China Huadian (51%) Indonesian partners (Samantaka Batubara (SB), Pembangkitan Jawa-Bali (PJB) and PLN Batubara (PLN BB)",#N/A,China Huadian Engineering Co Ltd (CHEC),,,,Coal Power Plant,Coal Power Plant - New,-0.5262206,101.9690037,exact,PH140.01,https://www.gem.wiki/Riau_Kemitraan_power_station,https://ijglobal.com/articles/106782/blackgold-and-china-huadian-agree-to-build-indonesia-coal-fired,https://www.sourcewatch.org/index.php/Riau-1_power_station,http://infopub.sgx.com/FileOpen/PLN%20signing%20PPAs%20090617.ashx?App=Announcement&FileID=457210,,L102780,,2028,Subcritical,
South Korea,South Korea,Export-Import Bank of Korea (Kexim),Ulaanbaatar CHP5 Power Plant (463.5MW),464,,,,,,,,1/1/2000,2100,Europe & Central Asia,Mongolia,,"GDF Suez, Sojitz, POSCO and Newcom",#N/A,,,,,Coal Power Plant,Coal Power Plant - New,47.9259478,107.0494938,,PH169.01,https://www.gem.wiki/Ulaanbaatar_Thermal_Power_Plant_No._5,https://ijglobal.com/data/transaction/31251/ulaanbaatar-chp5-power-plant,https://ijglobal.com/data/transaction/31251/ulaanbaatar-chp5-power-plant,https://www.jica.go.jp/english/our_work/social_environmental/id/asia/east/mongolia/c8h0vm0000bh45ri-att/c8h0vm0000bzckyg.pdf,,L103046,,2020,,
Germany,Germany,Euler Hermes,Longwall systems for underground coal mining,,"$148,381,397 ",,,,,,,9/1/2009,2009,Europe & Central Asia,Netherlands,,Bucyrus DBT Europe GmbH,#N/A,,,,,Coal Mining,Coal Mining,,,,,,http://www.agaportal.de/en/aga/projektinformationen/projektinformation_2009.html,,,,,,,,
Germany,Germany,Euler Hermes,Ore & Mineral Mining and Sales,,"$19,443,730 ",,,,,,,10/1/2012,2012,Europe & Central Asia,Netherlands,,KÌ_ttner GmbH & Co.,#N/A,,,,,Coal Mining,Coal Mining,,,,,,http://www.exim.gov/customcf/congressionalmap/district_map.cfm?state=PA&district=12,,,,,,,,
Private or Other,Private or Other,Vattenfall,Magnum CCGT Power Plant Hydrogen Conversion  (1311MW),1311,,,,,,,,1/1/1950,2050,Europe & Central Asia,Netherlands,,,#N/A,,,,,Gas,Gas-Fired,,,,42580,,https://ijglobal.com/data/transaction/42580/magnum-ccgt-power-plant-1311mw-hydrogen-conversion,,,,,,,,
Multilateral,Multilateral,African Development Bank (AfDB),Partial risk guarantee for coal-to-power investment in Nigeria,,"$200,000,000 ",,,,,,,3/1/2015,2015,Sub-Saharan Africa,Nigeria,,Nigerian Bulk Electricity Trading,#N/A,,,,,Coal - Other/Unspecified,Other,,,,,,,"http://www.post-nigeria.com/afdb-pumps-200m-into-nigerias-coal-to-power-production/
http://www.esi-africa.com/news/coal-to-power-afdb-commits-200m-to-nigerias-dirty-fuel/
http://guardian.ng/news/afdb-pledges-200m-support-for-coal-to-power-projects/?ak_action=reject_mobile",,,,,,,
China (EPC),China,PowerChina,Kogi Coal Plant (2400MW),2400,,,,,,,,1/1/1999,2099,Sub-Saharan Africa,Nigeria,Kogi Itobe,Itobe 3 Coal Power Plant Limited (Zuma Energy),#N/A,PowerChina,,,,Coal Power Plant,,7.5477,7.3094,Approximate,PH385.01,https://www.gem.wiki/Kogi_power_station,,,,G113798; G105803; G105805; G105806; G105807; G113384; G113385; G113386; G113387,L103102,Itobe power station; Ogbogbo power station,,Subcritical,
Germany,Germany,Kreditanstalt fÌ_r Wiederaufbau (KfW),Not identified,,"$102,093,173 ",,,,,,,1/1/2007,2007,N/A,Not identified,,Not identified,#N/A,,,,,Coal - Other/Unspecified,Unspecified,,,,,,,http://www.irs.gov/Individuals/International-Taxpayers/Yearly-Average-Currency-Exchange-Rates,,,,,,,
Germany,Germany,Euler Hermes,Not identified,,"$88,900,000 ",,,,,,,1/1/2007,2007,Oceania,Not identified,,Not identified,#N/A,,,,,Coal Mining,Coal Mining,,,,,,,,,,,,,,
Australia,Australia,Export Finance and Insurance Corporation (EFIC),Not identified,,"$149,600,000 ",,,,,,,1/1/2009,2009,Oceania,Not identified,,Not identified,#N/A,,,,,Coal Mining,Coal Mining,,,,,,,"OECD data on export credit support for fossil fuel power plants and fossil fuel extraction projects, 9 October 2014",,,,,,,
Germany,Germany,Kreditanstalt fÌ_r Wiederaufbau (KfW),Not identified,,,,,,,,,1/1/2009,2009,N/A,Not identified,,Not identified,#N/A,,,,,Coal - Other/Unspecified,Unspecified,,,,,,,http://www.irs.gov/Individuals/International-Taxpayers/Yearly-Average-Currency-Exchange-Rates,,,,,,,
Germany,Germany,Kreditanstalt fÌ_r Wiederaufbau (KfW),Not identified,,"$200,756,787 ",,,,,,,1/1/2010,2010,N/A,Not identified,,Not identified,#N/A,,,,,Coal - Other/Unspecified,Unspecified,,,,,,,http://www.irs.gov/Individuals/International-Taxpayers/Yearly-Average-Currency-Exchange-Rates,,,,,,,
Germany,Germany,Kreditanstalt fÌ_r Wiederaufbau (KfW),Not identified,,"$44,619,711 ",,,,,,,1/1/2012,2012,N/A,Not identified,,Not identified,#N/A,,,,,Coal - Other/Unspecified,Unspecified,,,,,,,http://www.irs.gov/Individuals/International-Taxpayers/Yearly-Average-Currency-Exchange-Rates,,,,,,,
Germany,Germany,Kreditanstalt fÌ_r Wiederaufbau (KfW),Not identified,,"$31,222,946 ",,,,,,,1/1/2013,2013,N/A,Not identified,,Not identified,#N/A,,,,,Coal - Other/Unspecified,Coal - Policy,,,,,,,,,,,,,,
Private or Other,Private or Other,PwC,Duqm IWP Desalination Plant,,"$483,000,000 ",,,,,,,1/1/1950,2050,Middle East & North Africa,Oman,,,#N/A,,,,,Gas+,"Desalination, Gas-Fired",,,,41470,,https://ijglobal.com/data/transaction/41470/duqm-iwp-desalination-plant,,,,,,,,
Japan,Japan,Japan International Cooperation Agency (JICA),Ulaanbaatar CHP5 Power Plant (463.5MW),464,,,,"$1,200,000,000 ",,,,1/1/2000,2100,Europe & Central Asia,Mongolia,,"GDF Suez, Sojitz, POSCO and Newcom",#N/A,,,,,Coal Power Plant,Coal Power Plant - New,47.9259478,107.0494938,,PH169.01,https://www.gem.wiki/Ulaanbaatar_Thermal_Power_Plant_No._5,https://www.adb.org/projects/46915-014/main#project-pds,https://ijglobal.com/data/transaction/31251/ulaanbaatar-chp5-power-plant,https://www.jica.go.jp/english/our_work/social_environmental/id/asia/east/mongolia/c8h0vm0000bh45ri-att/c8h0vm0000bzckyg.pdf,,L103046,,2020,Subcritical,
Japan,Japan,Japan Bank for International Cooperation (JBIC),Ulaanbaatar CHP5 Power Plant (463.5MW),464,,,,"$1,200,000,000 ",,,,1/1/2000,2100,Europe & Central Asia,Mongolia,,"GDF Suez, Sojitz, POSCO and Newcom",#N/A,,,,,Coal Power Plant,Coal Power Plant - New,47.9259478,107.0494938,,PH169.01,https://www.gem.wiki/Ulaanbaatar_Thermal_Power_Plant_No._5,https://www.adb.org/projects/46915-014/main#project-pds,https://ijglobal.com/data/transaction/31251/ulaanbaatar-chp5-power-plant,https://www.jica.go.jp/english/our_work/social_environmental/id/asia/east/mongolia/c8h0vm0000bh45ri-att/c8h0vm0000bzckyg.pdf,,L103046,,2020,Subcritical,
Multilateral,Multilateral,World Bank - International Finance Corporation,PIBT,,"$45,500,000 ",,,,,,,5/31/2012,2012,South Asia,Pakistan,,Pakistan International Bulk Terminal Limited,#N/A,,,,,Coal Mining,Coal Mining - Imports,,,,,,http://ifcext.ifc.org/ifcext/spiwebsite1.nsf/ProjectDisplay/SPI_DP28966,,,,,,,,
Multilateral,Multilateral,Asian Development Bank (ADB),Jamshoro Coal-Fired Power Plant (600MW),600,"$900,525,000 ",,,,,,,12/9/2013,2013,South Asia,Pakistan,,Government of Pakistan,#N/A,"Siemens, Harbin Electric International",,,,Coal Power Plant,Coal Power Plant - New,25.472222,68.266111,,PH070.01,https://www.gem.wiki/Jamshoro_power_station,https://ijglobal.com/data/project/25930/jamshoro-coal-fired-power-plant-expansion-1200mw,http://www.adb.org/projects/47094-001/main,,,L103142,,2022,Supercritical,
Multilateral,Multilateral,World Bank - International Development Association,Power Sector Reform: Development Policy Credit,,"$200,000,000 ",,,,,,,5/1/2014,2014,South Asia,Pakistan,,Government of Pakistan,#N/A,,,,,Coal - Other/Unspecified,Coal - Policy,,,,,,,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2014/04/11/000442464_20140411094222/Rendered/PDF/860310PGD0P128000Box385177B00OUO090.pdf,,,,,,,
China (Equity+EPC),China,China Aviation Industry Corp,Arifwala Grange Coal Plant (163MW),163,,,,,,,,1/1/1950,2050,South Asia,Pakistan,,Grange (China Western Power Industrial Co.),#N/A,EnergyChina,,,,Coal Power Plant,Coal Power,30.2851947,73.0623435,,PH363.01,https://www.gem.wiki/Grange_Holdings_power_station,http://www.cec.org.cn/zdlhuiyuandongtai/qita/2018-05-07/180263.html,,,,,Œá«ŒÙ¼¾ÐøŒ_¾Ê_ŒÉ¡ŒäŒÉÂŒü‹ÛŠü_ŒÝ_ö»©¼¾_Û¾ÏøŒÎÑŠ¼Â¾ÏäŽªŒÉÂŒü,,,
Multilateral,Multilateral,Islamic Development Bank,Jamshoro Coal-Fired Power Plant Expansion (1200MW),1200,"$220,000,000 ",,,"$1,500,000,000 ",,,,12/31/2015,2015,South Asia,Pakistan,Sindh province,Government of Pakistan,#N/A,"Siemens, Harbin Electric International",,,,Coal Power Plant,Coal,25.472222,68.266111,,PH070.01,https://www.gem.wiki/Jamshoro_power_station,https://ijglobal.com/data/project/25930/jamshoro-coal-fired-power-plant-expansion-1200mw,https://www.sourcewatch.org/index.php/Jamshoro_power_station#Unit_5_.26_6_expansion,,,L103142,,2022,Supercritical,
South Korea,South Korea,KEPCO,Naga Power Complex Unit 3 (200 MW),200,"$170,000,000 ",,,,,,,1/1/2000,2100,Southeast Asia,Philippines,Cebu Province,SPC Power Corporation,#N/A,,,,,Coal Power Plant,Coal Power Plant - Expansion,10.21755,123.76058,,PH180.01,https://www.gem.wiki/Naga_power_complex,https://www.kepco-enc.com/eng/selectBbsNttView.do?key=1621&bbsNo=342&nttNo=14278&searchCtgry=&searchCnd=all&searchKrwd=&pageIndex=8&integrDeptCode=,,,,,,,,
